"Player","Season","Team","GP","TOI","CA","FA","SA","GA","xGA","Sv%","FSv%","xSv%","dSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GSAA30"
"ALEX.STALOCK","2015-2016","S.J",13,674.13,548,378,285,33,24.9,88.42,91.27,91.26,-2.84,108,5,95.37,106,9,91.51,71,19,73.24,-8.1,-0.85
"AL.MONTOYA","2015-2016","FLA",25,1351.22,1129,866,608,49,52.26,91.94,94.34,91.4,0.54,244,2,99.18,228,20,91.23,136,27,80.15,3.26,0.16
"ANDERS.LINDBACK","2015-2016","ARI",19,906.13,797,616,443,47,36.89,89.39,92.37,91.67,-2.28,187,7,96.26,155,13,91.61,101,27,73.27,-10.11,-0.68
"ANDERS.NILSSON","2015-2016","EDM/STL",29,1500.58,1419,1095,789,78,70.63,90.11,92.88,91.05,-0.93,307,12,96.09,293,28,90.44,189,38,79.89,-7.37,-0.28
"ANDREI.VASILEVSKIY","2015-2016","T.B",24,1258.65,1207,902,646,58,52.18,91.02,93.57,91.92,-0.9,269,15,94.42,240,19,92.08,137,24,82.48,-5.82,-0.27
"ANDREW.HAMMOND","2015-2016","OTT",24,1382.31,1327,989,712,61,59.91,91.43,93.83,91.59,-0.15,281,6,97.86,288,22,92.36,143,33,76.92,-1.09,-0.05
"ANTON.FORSBERG","2015-2016","CBJ",4,178.14,179,129,97,9,9.38,90.72,93.02,90.33,0.39,26,2,92.31,45,3,93.33,26,4,84.62,0.38,0.12
"ANTON.KHUDOBIN","2015-2016","ANA",9,356.33,340,250,175,16,17.35,90.86,93.6,90.09,0.77,56,2,96.43,68,7,89.71,51,7,86.27,1.35,0.23
"ANTTI.NIEMI","2015-2016","DAL",48,2634.4,2361,1790,1232,117,111.18,90.5,93.46,90.98,-0.47,497,10,97.99,421,33,92.16,314,74,76.43,-5.82,-0.14
"ANTTI.RAANTA","2015-2016","NYR",25,1150.35,1065,744,530,43,50.38,91.89,94.22,90.49,1.39,199,2,98.99,175,9,94.86,156,32,79.49,7.38,0.42
"BEN.BISHOP","2015-2016","T.B",61,3579.65,3032,2341,1671,123,127.33,92.64,94.75,92.38,0.26,720,14,98.06,644,48,92.55,307,61,80.13,4.33,0.08
"BEN.SCRIVENS","2015-2016","MTL",15,821.97,780,597,447,42,38.29,90.6,92.96,91.43,-0.83,189,2,98.94,154,10,93.51,104,30,71.15,-3.71,-0.25
"BRADEN.HOLTBY","2015-2016","WSH",66,3841.21,3551,2555,1803,141,152,92.18,94.48,91.57,0.61,761,14,98.16,631,47,92.55,411,80,80.54,11,0.18
"BRIAN.ELLIOTT","2015-2016","STL",42,2262.99,2080,1550,1114,78,99.41,93,94.97,91.08,1.92,411,9,97.81,446,28,93.72,257,41,84.05,21.41,0.58
"CALVIN.PICKARD","2015-2016","COL",20,980.43,1034,745,537,42,48.11,92.18,94.36,91.04,1.14,214,3,98.6,196,13,93.37,127,26,79.53,6.11,0.34
"CAM.TALBOT","2015-2016","EDM",56,3176.58,3099,2251,1636,136,137.83,91.69,93.96,91.58,0.11,639,20,96.87,634,46,92.74,363,70,80.72,1.83,0.03
"CAM.WARD","2015-2016","CAR",52,3032.8,2517,1907,1340,122,114.38,90.9,93.6,91.46,-0.57,539,18,96.66,497,40,91.95,304,64,78.95,-7.62,-0.17
"CAREY.PRICE","2015-2016","MTL",12,698.33,652,491,365,24,30.67,93.42,95.11,91.6,1.83,156,2,98.72,136,11,91.91,73,11,84.93,6.67,0.55
"CARTER.HUTTON","2015-2016","NSH",17,978.93,916,662,464,38,38.45,91.81,94.26,91.71,0.1,204,3,98.53,153,16,89.54,107,19,82.24,0.45,0.03
"CHAD.JOHNSON","2015-2016","BUF",45,2591.08,2371,1803,1271,102,107.32,91.97,94.34,91.56,0.42,541,10,98.15,460,30,93.48,270,62,77.04,5.32,0.13
"CHARLIE.LINDGREN","2015-2016","MTL",1,60,49,41,28,2,3.21,92.86,95.12,88.54,4.32,12,1,91.67,8,1,87.5,8,0,100,1.21,1.3
"CHRIS.DRIEDGER","2015-2016","OTT",1,31.82,21,14,11,0,1.41,100,100,87.18,12.82,2,0,100,6,0,100,3,0,100,1.41,3.85
"CHRIS.GIBSON","2015-2016","NYI",4,194.04,173,131,93,11,7.57,88.17,91.6,91.86,-3.69,35,2,94.29,40,5,87.5,18,4,77.78,-3.43,-1.11
"CONNOR.HELLEBUYCK","2015-2016","WPG",26,1433.47,1286,944,683,56,63.9,91.8,94.07,90.64,1.16,260,2,99.23,257,21,91.83,166,33,80.12,7.9,0.35
"COREY.CRAWFORD","2015-2016","CHI",58,3322.63,3057,2296,1718,131,155.74,92.37,94.29,90.93,1.44,700,18,97.43,629,40,93.64,389,73,81.23,24.74,0.43
"CORY.SCHNEIDER","2015-2016","N.J",58,3407.43,2827,2129,1595,122,145.46,92.35,94.27,90.88,1.47,629,13,97.93,562,42,92.53,404,67,83.42,23.46,0.44
"CRAIG.ANDERSON","2015-2016","OTT",60,3477.13,3422,2598,1915,161,157.25,91.59,93.8,91.79,-0.2,810,12,98.52,703,58,91.75,402,91,77.36,-3.75,-0.06
"CURTIS.MCELHINNEY","2015-2016","CBJ",18,835.42,799,590,417,46,42.7,88.97,92.2,89.76,-0.79,152,2,98.68,130,15,88.46,135,29,78.52,-3.3,-0.24
"DARCY.KUEMPER","2015-2016","MIN",21,1063.41,993,728,507,43,44.09,91.52,94.09,91.3,0.21,210,5,97.62,178,18,89.89,119,20,83.19,1.09,0.06
"DEVAN.DUBNYK","2015-2016","MIN",67,3841.22,3537,2602,1826,150,147,91.79,94.24,91.95,-0.16,827,16,98.07,624,49,92.15,375,85,77.33,-3,-0.05
"DUSTIN.TOKARSKI","2015-2016","MTL",6,226.17,184,134,98,12,8.54,87.76,91.04,91.29,-3.53,44,1,97.73,30,2,93.33,24,9,62.5,-3.46,-1.06
"EDDIE.LACK","2015-2016","CAR",34,1919.83,1685,1318,910,90,82.38,90.11,93.17,90.95,-0.84,328,5,98.48,359,41,88.58,223,44,80.27,-7.62,-0.25
"FREDERIK.ANDERSEN","2015-2016","ANA",43,2297.92,2069,1538,1086,88,92.89,91.9,94.28,91.45,0.45,435,11,97.47,399,22,94.49,252,55,78.17,4.89,0.14
"GARRET.SPARKS","2015-2016","TOR",17,974.95,817,640,456,49,39.2,89.25,92.34,91.4,-2.15,197,4,97.97,160,17,89.38,99,28,71.72,-9.8,-0.64
"HENRIK.LUNDQVIST","2015-2016","NYR",65,3772.35,3717,2735,1944,156,175.32,91.98,94.3,90.98,0.99,734,8,98.91,717,44,93.86,493,104,78.9,19.32,0.3
"JACOB.MARKSTROM","2015-2016","VAN",32,1847.24,1712,1348,988,84,88.55,91.5,93.77,91.04,0.46,345,10,97.1,421,29,93.11,222,45,79.73,4.55,0.14
"JAKE.ALLEN","2015-2016","STL",47,2583.37,2270,1691,1261,101,108.1,91.99,94.03,91.43,0.56,495,10,97.98,486,39,91.98,280,52,81.43,7.1,0.17
"JAMES.REIMER","2015-2016","TOR/S.J",40,2290.45,2078,1575,1128,88,90.73,92.2,94.41,91.96,0.24,481,15,96.88,432,32,92.59,215,41,80.93,2.73,0.07
