"Player","Season","Team","GP","TOI","CA","FA","SA","GA","xGA","Sv%","FSv%","xSv%","dSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GSAA30"
"AARON.DELL","2018-2019","S.J",13,773.07,679,510,361,40,37.98,88.92,92.16,89.48,-0.56,132,2,98.48,114,11,90.35,115,27,76.52,-2.02,-0.17
"ADIN.HILL","2018-2019","ARI",12,616.35,565,417,286,22,27.18,92.31,94.72,90.5,1.81,118,4,96.61,94,5,94.68,74,13,82.43,5.18,0.54
"ALEXANDAR.GEORGIEV","2018-2019","NYR",11,573.13,568,432,304,31,27.96,89.8,92.82,90.8,-1,118,5,95.76,115,7,93.91,71,19,73.24,-3.04,-0.3
"ALEX.LYON","2018-2019","PHI",2,70.82,54,42,31,6,3.09,80.65,85.71,90.03,-9.39,13,1,92.31,11,2,81.82,7,3,57.14,-2.91,-2.82
"ALEX.STALOCK","2018-2019","MIN",10,508.03,472,347,227,22,20.96,90.31,93.66,90.77,-0.46,97,0,100,87,10,88.51,43,12,72.09,-1.04,-0.14
"ANDERS.NILSSON","2018-2019","VAN",12,697.93,651,484,341,37,31.74,89.15,92.36,90.69,-1.54,134,3,97.76,129,18,86.05,78,16,79.49,-5.26,-0.46
"ANDREI.VASILEVSKIY","2018-2019","T.B",21,1268.92,1256,950,706,54,56.56,92.35,94.32,91.99,0.36,274,5,98.18,311,19,93.89,121,30,75.21,2.56,0.11
"ANTHONY.STOLARZ","2018-2019","PHI",9,446.38,399,303,242,29,24.41,88.02,90.43,89.91,-1.9,86,1,98.84,88,16,81.82,68,12,82.35,-4.59,-0.57
"ANTON.KHUDOBIN","2018-2019","DAL",18,914.17,962,715,501,40,42.44,92.02,94.41,91.53,0.49,227,4,98.24,169,15,91.12,105,21,80,2.44,0.15
"ANTTI.NIEMI","2018-2019","MTL",11,657.55,649,499,372,44,33.56,88.17,91.18,90.98,-2.81,155,7,95.48,128,15,88.28,89,22,75.28,-10.44,-0.84
"ANTTI.RAANTA","2018-2019","ARI",12,687.1,680,506,351,33,34.65,90.6,93.48,90.13,0.47,129,4,96.9,130,11,91.54,92,18,80.43,1.65,0.14
"BEN.BISHOP","2018-2019","DAL",26,1506.37,1455,1067,770,59,66.03,92.34,94.47,91.42,0.91,338,9,97.34,275,24,91.27,157,26,83.44,7.03,0.27
"BRADEN.HOLTBY","2018-2019","WSH",28,1622.45,1620,1215,879,79,83.19,91.01,93.5,90.54,0.48,341,4,98.83,317,27,91.48,221,48,78.28,4.19,0.14
"BRIAN.ELLIOTT","2018-2019","PHI",14,767.3,713,524,375,33,36.87,91.2,93.7,90.17,1.03,147,2,98.64,137,11,91.97,91,20,78.02,3.87,0.31
